"Notes"	"Month Day, Year"	"Month Day, Year Code"	"State"	"State Code"	Avg Daily Max Air Temperature (F)
"Total"	"Nov 18, 1985"	"1985/11/18"			80.34
	"Nov 19, 1985"	"1985/11/19"	"Georgia"	"13"	81.40
"Total"	"Nov 19, 1985"	"1985/11/19"			81.40
	"Nov 20, 1985"	"1985/11/20"	"Georgia"	"13"	75.11
"Total"	"Nov 20, 1985"	"1985/11/20"			75.11
	"Nov 21, 1985"	"1985/11/21"	"Georgia"	"13"	71.87
"Total"	"Nov 21, 1985"	"1985/11/21"			71.87
	"Nov 22, 1985"	"1985/11/22"	"Georgia"	"13"	69.06
"Total"	"Nov 22, 1985"	"1985/11/22"			69.06
	"Nov 23, 1985"	"1985/11/23"	"Georgia"	"13"	69.34
"Total"	"Nov 23, 1985"	"1985/11/23"			69.34
	"Nov 24, 1985"	"1985/11/24"	"Georgia"	"13"	71.14
"Total"	"Nov 24, 1985"	"1985/11/24"			71.14
	"Nov 25, 1985"	"1985/11/25"	"Georgia"	"13"	72.81
"Total"	"Nov 25, 1985"	"1985/11/25"			72.81
	"Nov 26, 1985"	"1985/11/26"	"Georgia"	"13"	76.96
"Total"	"Nov 26, 1985"	"1985/11/26"			76.96
	"Nov 27, 1985"	"1985/11/27"	"Georgia"	"13"	77.60
"Total"	"Nov 27, 1985"	"1985/11/27"			77.60
	"Nov 28, 1985"	"1985/11/28"	"Georgia"	"13"	74.71
"Total"	"Nov 28, 1985"	"1985/11/28"			74.71
	"Nov 29, 1985"	"1985/11/29"	"Georgia"	"13"	73.07
"Total"	"Nov 29, 1985"	"1985/11/29"			73.07
	"Nov 30, 1985"	"1985/11/30"	"Georgia"	"13"	70.85
"Total"	"Nov 30, 1985"	"1985/11/30"			70.85
	"Dec 01, 1985"	"1985/12/01"	"Georgia"	"13"	71.23
"Total"	"Dec 01, 1985"	"1985/12/01"			71.23
	"Dec 02, 1985"	"1985/12/02"	"Georgia"	"13"	63.55
"Total"	"Dec 02, 1985"	"1985/12/02"			63.55
	"Dec 03, 1985"	"1985/12/03"	"Georgia"	"13"	46.22
"Total"	"Dec 03, 1985"	"1985/12/03"			46.22
	"Dec 04, 1985"	"1985/12/04"	"Georgia"	"13"	53.33
"Total"	"Dec 04, 1985"	"1985/12/04"			53.33
	"Dec 05, 1985"	"1985/12/05"	"Georgia"	"13"	53.95
"Total"	"Dec 05, 1985"	"1985/12/05"			53.95
	"Dec 06, 1985"	"1985/12/06"	"Georgia"	"13"	49.34
"Total"	"Dec 06, 1985"	"1985/12/06"			49.34
	"Dec 07, 1985"	"1985/12/07"	"Georgia"	"13"	51.80
"Total"	"Dec 07, 1985"	"1985/12/07"			51.80
	"Dec 08, 1985"	"1985/12/08"	"Georgia"	"13"	59.33
"Total"	"Dec 08, 1985"	"1985/12/08"			59.33
	"Dec 09, 1985"	"1985/12/09"	"Georgia"	"13"	64.62
"Total"	"Dec 09, 1985"	"1985/12/09"			64.62
	"Dec 10, 1985"	"1985/12/10"	"Georgia"	"13"	66.73
"Total"	"Dec 10, 1985"	"1985/12/10"			66.73
	"Dec 11, 1985"	"1985/12/11"	"Georgia"	"13"	73.27
"Total"	"Dec 11, 1985"	"1985/12/11"			73.27
	"Dec 12, 1985"	"1985/12/12"	"Georgia"	"13"	65.62
"Total"	"Dec 12, 1985"	"1985/12/12"			65.62
	"Dec 13, 1985"	"1985/12/13"	"Georgia"	"13"	65.71
"Total"	"Dec 13, 1985"	"1985/12/13"			65.71
	"Dec 14, 1985"	"1985/12/14"	"Georgia"	"13"	50.46
"Total"	"Dec 14, 1985"	"1985/12/14"			50.46
	"Dec 15, 1985"	"1985/12/15"	"Georgia"	"13"	42.87
"Total"	"Dec 15, 1985"	"1985/12/15"			42.87
	"Dec 16, 1985"	"1985/12/16"	"Georgia"	"13"	47.95
"Total"	"Dec 16, 1985"	"1985/12/16"			47.95
	"Dec 17, 1985"	"1985/12/17"	"Georgia"	"13"	52.38
"Total"	"Dec 17, 1985"	"1985/12/17"			52.38
	"Dec 18, 1985"	"1985/12/18"	"Georgia"	"13"	50.05
"Total"	"Dec 18, 1985"	"1985/12/18"			50.05
	"Dec 19, 1985"	"1985/12/19"	"Georgia"	"13"	45.06
"Total"	"Dec 19, 1985"	"1985/12/19"			45.06
	"Dec 20, 1985"	"1985/12/20"	"Georgia"	"13"	45.76
"Total"	"Dec 20, 1985"	"1985/12/20"			45.76
	"Dec 21, 1985"	"1985/12/21"	"Georgia"	"13"	36.89
"Total"	"Dec 21, 1985"	"1985/12/21"			36.89
	"Dec 22, 1985"	"1985/12/22"	"Georgia"	"13"	44.43
"Total"	"Dec 22, 1985"	"1985/12/22"			44.43
	"Dec 23, 1985"	"1985/12/23"	"Georgia"	"13"	56.59
"Total"	"Dec 23, 1985"	"1985/12/23"			56.59
	"Dec 24, 1985"	"1985/12/24"	"Georgia"	"13"	61.33
"Total"	"Dec 24, 1985"	"1985/12/24"			61.33
	"Dec 25, 1985"	"1985/12/25"	"Georgia"	"13"	43.54
"Total"	"Dec 25, 1985"	"1985/12/25"			43.54
	"Dec 26, 1985"	"1985/12/26"	"Georgia"	"13"	31.70
"Total"	"Dec 26, 1985"	"1985/12/26"			31.70
	"Dec 27, 1985"	"1985/12/27"	"Georgia"	"13"	50.92
"Total"	"Dec 27, 1985"	"1985/12/27"			50.92
	"Dec 28, 1985"	"1985/12/28"	"Georgia"	"13"	47.28
"Total"	"Dec 28, 1985"	"1985/12/28"			47.28
	"Dec 29, 1985"	"1985/12/29"	"Georgia"	"13"	51.72
"Total"	"Dec 29, 1985"	"1985/12/29"			51.72
	"Dec 30, 1985"	"1985/12/30"	"Georgia"	"13"	49.60
"Total"	"Dec 30, 1985"	"1985/12/30"			49.60
	"Dec 31, 1985"	"1985/12/31"	"Georgia"	"13"	42.89
"Total"	"Dec 31, 1985"	"1985/12/31"			42.89
	"Jan 01, 1986"	"1986/01/01"	"Georgia"	"13"	58.39
"Total"	"Jan 01, 1986"	"1986/01/01"			58.39
	"Jan 02, 1986"	"1986/01/02"	"Georgia"	"13"	61.52
"Total"	"Jan 02, 1986"	"1986/01/02"			61.52
	"Jan 03, 1986"	"1986/01/03"	"Georgia"	"13"	61.23
"Total"	"Jan 03, 1986"	"1986/01/03"			61.23
	"Jan 04, 1986"	"1986/01/04"	"Georgia"	"13"	58.13
"Total"	"Jan 04, 1986"	"1986/01/04"			58.13
	"Jan 05, 1986"	"1986/01/05"	"Georgia"	"13"	51.48
"Total"	"Jan 05, 1986"	"1986/01/05"			51.48
	"Jan 06, 1986"	"1986/01/06"	"Georgia"	"13"	51.05
"Total"	"Jan 06, 1986"	"1986/01/06"			51.05
	"Jan 07, 1986"	"1986/01/07"	"Georgia"	"13"	50.59
"Total"	"Jan 07, 1986"	"1986/01/07"			50.59
	"Jan 08, 1986"	"1986/01/08"	"Georgia"	"13"	41.30
"Total"	"Jan 08, 1986"	"1986/01/08"			41.30
	"Jan 09, 1986"	"1986/01/09"	"Georgia"	"13"	46.31
"Total"	"Jan 09, 1986"	"1986/01/09"			46.31
	"Jan 10, 1986"	"1986/01/10"	"Georgia"	"13"	50.30
"Total"	"Jan 10, 1986"	"1986/01/10"			50.30
	"Jan 11, 1986"	"1986/01/11"	"Georgia"	"13"	52.99
"Total"	"Jan 11, 1986"	"1986/01/11"			52.99
	"Jan 12, 1986"	"1986/01/12"	"Georgia"	"13"	56.61
"Total"	"Jan 12, 1986"	"1986/01/12"			56.61
	"Jan 13, 1986"	"1986/01/13"	"Georgia"	"13"	44.15
"Total"	"Jan 13, 1986"	"1986/01/13"			44.15
	"Jan 14, 1986"	"1986/01/14"	"Georgia"	"13"	51.08
"Total"	"Jan 14, 1986"	"1986/01/14"			51.08
	"Jan 15, 1986"	"1986/01/15"	"Georgia"	"13"	53.12
"Total"	"Jan 15, 1986"	"1986/01/15"			53.12
	"Jan 16, 1986"	"1986/01/16"	"Georgia"	"13"	61.26
"Total"	"Jan 16, 1986"	"1986/01/16"			61.26
	"Jan 17, 1986"	"1986/01/17"	"Georgia"	"13"	64.92
"Total"	"Jan 17, 1986"	"1986/01/17"			64.92
	"Jan 18, 1986"	"1986/01/18"	"Georgia"	"13"	66.27
"Total"	"Jan 18, 1986"	"1986/01/18"			66.27
	"Jan 19, 1986"	"1986/01/19"	"Georgia"	"13"	59.60
"Total"	"Jan 19, 1986"	"1986/01/19"			59.60
	"Jan 20, 1986"	"1986/01/20"	"Georgia"	"13"	51.61
"Total"	"Jan 20, 1986"	"1986/01/20"			51.61
	"Jan 21, 1986"	"1986/01/21"	"Georgia"	"13"	62.91
"Total"	"Jan 21, 1986"	"1986/01/21"			62.91
	"Jan 22, 1986"	"1986/01/22"	"Georgia"	"13"	67.79
"Total"	"Jan 22, 1986"	"1986/01/22"			67.79
	"Jan 23, 1986"	"1986/01/23"	"Georgia"	"13"	60.22
"Total"	"Jan 23, 1986"	"1986/01/23"			60.22
	"Jan 24, 1986"	"1986/01/24"	"Georgia"	"13"	51.82
"Total"	"Jan 24, 1986"	"1986/01/24"			51.82
	"Jan 25, 1986"	"1986/01/25"	"Georgia"	"13"	54.97
"Total"	"Jan 25, 1986"	"1986/01/25"			54.97
	"Jan 26, 1986"	"1986/01/26"	"Georgia"	"13"	50.96
"Total"	"Jan 26, 1986"	"1986/01/26"			50.96
	"Jan 27, 1986"	"1986/01/27"	"Georgia"	"13"	36.05
"Total"	"Jan 27, 1986"	"1986/01/27"			36.05
	"Jan 28, 1986"	"1986/01/28"	"Georgia"	"13"	32.17
"Total"	"Jan 28, 1986"	"1986/01/28"			32.17
	"Jan 29, 1986"	"1986/01/29"	"Georgia"	"13"	56.62
"Total"	"Jan 29, 1986"	"1986/01/29"			56.62
	"Jan 30, 1986"	"1986/01/30"	"Georgia"	"13"	51.87
"Total"	"Jan 30, 1986"	"1986/01/30"			51.87
	"Jan 31, 1986"	"1986/01/31"	"Georgia"	"13"	58.00
"Total"	"Jan 31, 1986"	"1986/01/31"			58.00
	"Feb 01, 1986"	"1986/02/01"	"Georgia"	"13"	64.67
"Total"	"Feb 01, 1986"	"1986/02/01"			64.67
	"Feb 02, 1986"	"1986/02/02"	"Georgia"	"13"	68.96
"Total"	"Feb 02, 1986"	"1986/02/02"			68.96
	"Feb 03, 1986"	"1986/02/03"	"Georgia"	"13"	71.36
"Total"	"Feb 03, 1986"	"1986/02/03"			71.36
	"Feb 04, 1986"	"1986/02/04"	"Georgia"	"13"	72.37
"Total"	"Feb 04, 1986"	"1986/02/04"			72.37
	"Feb 05, 1986"	"1986/02/05"	"Georgia"	"13"	64.90
"Total"	"Feb 05, 1986"	"1986/02/05"			64.90
	"Feb 06, 1986"	"1986/02/06"	"Georgia"	"13"	67.93
"Total"	"Feb 06, 1986"	"1986/02/06"			67.93
	"Feb 07, 1986"	"1986/02/07"	"Georgia"	"13"	61.28
"Total"	"Feb 07, 1986"	"1986/02/07"			61.28
	"Feb 08, 1986"	"1986/02/08"	"Georgia"	"13"	56.08
"Total"	"Feb 08, 1986"	"1986/02/08"			56.08
	"Feb 09, 1986"	"1986/02/09"	"Georgia"	"13"	62.74
"Total"	"Feb 09, 1986"	"1986/02/09"			62.74
	"Feb 10, 1986"	"1986/02/10"	"Georgia"	"13"	65.30
"Total"	"Feb 10, 1986"	"1986/02/10"			65.30
	"Feb 11, 1986"	"1986/02/11"	"Georgia"	"13"	58.85
"Total"	"Feb 11, 1986"	"1986/02/11"			58.85
	"Feb 12, 1986"	"1986/02/12"	"Georgia"	"13"	43.75
"Total"	"Feb 12, 1986"	"1986/02/12"			43.75
	"Feb 13, 1986"	"1986/02/13"	"Georgia"	"13"	37.50
"Total"	"Feb 13, 1986"	"1986/02/13"			37.50
	"Feb 14, 1986"	"1986/02/14"	"Georgia"	"13"	47.92
"Total"	"Feb 14, 1986"	"1986/02/14"			47.92
	"Feb 15, 1986"	"1986/02/15"	"Georgia"	"13"	49.47
"Total"	"Feb 15, 1986"	"1986/02/15"			49.47
	"Feb 16, 1986"	"1986/02/16"	"Georgia"	"13"	59.91
"Total"	"Feb 16, 1986"	"1986/02/16"			59.91
	"Feb 17, 1986"	"1986/02/17"	"Georgia"	"13"	62.75
"Total"	"Feb 17, 1986"	"1986/02/17"			62.75
	"Feb 18, 1986"	"1986/02/18"	"Georgia"	"13"	73.29
"Total"	"Feb 18, 1986"	"1986/02/18"			73.29
	"Feb 19, 1986"	"1986/02/19"	"Georgia"	"13"	77.45
"Total"	"Feb 19, 1986"	"1986/02/19"			77.45
	"Feb 20, 1986"	"1986/02/20"	"Georgia"	"13"	76.15
"Total"	"Feb 20, 1986"	"1986/02/20"			76.15
	"Feb 21, 1986"	"1986/02/21"	"Georgia"	"13"	78.28
"Total"	"Feb 21, 1986"	"1986/02/21"			78.28
	"Feb 22, 1986"	"1986/02/22"	"Georgia"	"13"	72.19
"Total"	"Feb 22, 1986"	"1986/02/22"			72.19
	"Feb 23, 1986"	"1986/02/23"	"Georgia"	"13"	62.52
"Total"	"Feb 23, 1986"	"1986/02/23"			62.52
	"Feb 24, 1986"	"1986/02/24"	"Georgia"	"13"	61.43
"Total"	"Feb 24, 1986"	"1986/02/24"			61.43
	"Feb 25, 1986"	"1986/02/25"	"Georgia"	"13"	49.93
"Total"	"Feb 25, 1986"	"1986/02/25"			49.93
	"Feb 26, 1986"	"1986/02/26"	"Georgia"	"13"	61.45
"Total"	"Feb 26, 1986"	"1986/02/26"			61.45
	"Feb 27, 1986"	"1986/02/27"	"Georgia"	"13"	64.38
"Total"	"Feb 27, 1986"	"1986/02/27"			64.38
	"Feb 28, 1986"	"1986/02/28"	"Georgia"	"13"	48.52
"Total"	"Feb 28, 1986"	"1986/02/28"			48.52
	"Mar 01, 1986"	"1986/03/01"	"Georgia"	"13"	42.12
"Total"	"Mar 01, 1986"	"1986/03/01"			42.12
	"Mar 02, 1986"	"1986/03/02"	"Georgia"	"13"	51.19
"Total"	"Mar 02, 1986"	"1986/03/02"			51.19
	"Mar 03, 1986"	"1986/03/03"	"Georgia"	"13"	64.95
"Total"	"Mar 03, 1986"	"1986/03/03"			64.95
	"Mar 04, 1986"	"1986/03/04"	"Georgia"	"13"	58.32
"Total"	"Mar 04, 1986"	"1986/03/04"			58.32
	"Mar 05, 1986"	"1986/03/05"	"Georgia"	"13"	55.18
"Total"	"Mar 05, 1986"	"1986/03/05"			55.18
	"Mar 06, 1986"	"1986/03/06"	"Georgia"	"13"	59.24
"Total"	"Mar 06, 1986"	"1986/03/06"			59.24
	"Mar 07, 1986"	"1986/03/07"	"Georgia"	"13"	60.36
"Total"	"Mar 07, 1986"	"1986/03/07"			60.36
	"Mar 08, 1986"	"1986/03/08"	"Georgia"	"13"	56.01
"Total"	"Mar 08, 1986"	"1986/03/08"			56.01
	"Mar 09, 1986"	"1986/03/09"	"Georgia"	"13"	70.97
"Total"	"Mar 09, 1986"	"1986/03/09"			70.97
	"Mar 10, 1986"	"1986/03/10"	"Georgia"	"13"	73.18
"Total"	"Mar 10, 1986"	"1986/03/10"			73.18
	"Mar 11, 1986"	"1986/03/11"	"Georgia"	"13"	78.73
"Total"	"Mar 11, 1986"	"1986/03/11"			78.73
	"Mar 12, 1986"	"1986/03/12"	"Georgia"	"13"	78.36
"Total"	"Mar 12, 1986"	"1986/03/12"			78.36
	"Mar 13, 1986"	"1986/03/13"	"Georgia"	"13"	73.49
"Total"	"Mar 13, 1986"	"1986/03/13"			73.49
	"Mar 14, 1986"	"1986/03/14"	"Georgia"	"13"	66.24
"Total"	"Mar 14, 1986"	"1986/03/14"			66.24
	"Mar 15, 1986"	"1986/03/15"	"Georgia"	"13"	70.38
"Total"	"Mar 15, 1986"	"1986/03/15"			70.38
	"Mar 16, 1986"	"1986/03/16"	"Georgia"	"13"	71.38
"Total"	"Mar 16, 1986"	"1986/03/16"			71.38
	"Mar 17, 1986"	"1986/03/17"	"Georgia"	"13"	71.10
"Total"	"Mar 17, 1986"	"1986/03/17"			71.10
	"Mar 18, 1986"	"1986/03/18"	"Georgia"	"13"	76.45
"Total"	"Mar 18, 1986"	"1986/03/18"			76.45
	"Mar 19, 1986"	"1986/03/19"	"Georgia"	"13"	69.81
"Total"	"Mar 19, 1986"	"1986/03/19"			69.81
	"Mar 20, 1986"	"1986/03/20"	"Georgia"	"13"	58.36
"Total"	"Mar 20, 1986"	"1986/03/20"			58.36
	"Mar 21, 1986"	"1986/03/21"	"Georgia"	"13"	46.68
"Total"	"Mar 21, 1986"	"1986/03/21"			46.68
	"Mar 22, 1986"	"1986/03/22"	"Georgia"	"13"	47.71
"Total"	"Mar 22, 1986"	"1986/03/22"			47.71
	"Mar 23, 1986"	"1986/03/23"	"Georgia"	"13"	58.04
"Total"	"Mar 23, 1986"	"1986/03/23"			58.04
	"Mar 24, 1986"	"1986/03/24"	"Georgia"	"13"	69.98
"Total"	"Mar 24, 1986"	"1986/03/24"			69.98
	"Mar 25, 1986"	"1986/03/25"	"Georgia"	"13"	70.25
"Total"	"Mar 25, 1986"	"1986/03/25"			70.25
	"Mar 26, 1986"	"1986/03/26"	"Georgia"	"13"	71.21
"Total"	"Mar 26, 1986"	"1986/03/26"			71.21
	"Mar 27, 1986"	"1986/03/27"	"Georgia"	"13"	73.82
"Total"	"Mar 27, 1986"	"1986/03/27"			73.82
	"Mar 28, 1986"	"1986/03/28"	"Georgia"	"13"	71.61
"Total"	"Mar 28, 1986"	"1986/03/28"			71.61
	"Mar 29, 1986"	"1986/03/29"	"Georgia"	"13"	73.24
"Total"	"Mar 29, 1986"	"1986/03/29"			73.24
	"Mar 30, 1986"	"1986/03/30"	"Georgia"	"13"	75.43
"Total"	"Mar 30, 1986"	"1986/03/30"			75.43
	"Mar 31, 1986"	"1986/03/31"	"Georgia"	"13"	78.24
"Total"	"Mar 31, 1986"	"1986/03/31"			78.24
	"Apr 01, 1986"	"1986/04/01"	"Georgia"	"13"	79.22
"Total"	"Apr 01, 1986"	"1986/04/01"			79.22
	"Apr 02, 1986"	"1986/04/02"	"Georgia"	"13"	80.59
"Total"	"Apr 02, 1986"	"1986/04/02"			80.59
	"Apr 03, 1986"	"1986/04/03"	"Georgia"	"13"	81.23
"Total"	"Apr 03, 1986"	"1986/04/03"			81.23
	"Apr 04, 1986"	"1986/04/04"	"Georgia"	"13"	79.01
"Total"	"Apr 04, 1986"	"1986/04/04"			79.01
	"Apr 05, 1986"	"1986/04/05"	"Georgia"	"13"	80.45
"Total"	"Apr 05, 1986"	"1986/04/05"			80.45
	"Apr 06, 1986"	"1986/04/06"	"Georgia"	"13"	79.69
"Total"	"Apr 06, 1986"	"1986/04/06"			79.69
	"Apr 07, 1986"	"1986/04/07"	"Georgia"	"13"	82.45
"Total"	"Apr 07, 1986"	"1986/04/07"			82.45
	"Apr 08, 1986"	"1986/04/08"	"Georgia"	"13"	80.38
"Total"	"Apr 08, 1986"	"1986/04/08"			80.38
	"Apr 09, 1986"	"1986/04/09"	"Georgia"	"13"	63.22
"Total"	"Apr 09, 1986"	"1986/04/09"			63.22
	"Apr 10, 1986"	"1986/04/10"	"Georgia"	"13"	63.00
"Total"	"Apr 10, 1986"	"1986/04/10"			63.00
	"Apr 11, 1986"	"1986/04/11"	"Georgia"	"13"	69.44
"Total"	"Apr 11, 1986"	"1986/04/11"			69.44
	"Apr 12, 1986"	"1986/04/12"	"Georgia"	"13"	71.88
"Total"	"Apr 12, 1986"	"1986/04/12"			71.88
	"Apr 13, 1986"	"1986/04/13"	"Georgia"	"13"	75.32
"Total"	"Apr 13, 1986"	"1986/04/13"			75.32
	"Apr 14, 1986"	"1986/04/14"	"Georgia"	"13"	79.14
"Total"	"Apr 14, 1986"	"1986/04/14"			79.14
	"Apr 15, 1986"	"1986/04/15"	"Georgia"	"13"	73.08
"Total"	"Apr 15, 1986"	"1986/04/15"			73.08
	"Apr 16, 1986"	"1986/04/16"	"Georgia"	"13"	60.26
"Total"	"Apr 16, 1986"	"1986/04/16"			60.26
	"Apr 17, 1986"	"1986/04/17"	"Georgia"	"13"	61.60
"Total"	"Apr 17, 1986"	"1986/04/17"			61.60
	"Apr 18, 1986"	"1986/04/18"	"Georgia"	"13"	68.96
"Total"	"Apr 18, 1986"	"1986/04/18"			68.96
	"Apr 19, 1986"	"1986/04/19"	"Georgia"	"13"	72.73
"Total"	"Apr 19, 1986"	"1986/04/19"			72.73
	"Apr 20, 1986"	"1986/04/20"	"Georgia"	"13"	68.01
"Total"	"Apr 20, 1986"	"1986/04/20"			68.01
	"Apr 21, 1986"	"1986/04/21"	"Georgia"	"13"	70.44
"Total"	"Apr 21, 1986"	"1986/04/21"			70.44
	"Apr 22, 1986"	"1986/04/22"	"Georgia"	"13"	61.15
"Total"	"Apr 22, 1986"	"1986/04/22"			61.15
	"Apr 23, 1986"	"1986/04/23"	"Georgia"	"13"	61.76
"Total"	"Apr 23, 1986"	"1986/04/23"			61.76
	"Apr 24, 1986"	"1986/04/24"	"Georgia"	"13"	72.18
"Total"	"Apr 24, 1986"	"1986/04/24"			72.18
	"Apr 25, 1986"	"1986/04/25"	"Georgia"	"13"	81.12
"Total"	"Apr 25, 1986"	"1986/04/25"			81.12
	"Apr 26, 1986"	"1986/04/26"	"Georgia"	"13"	85.12
"Total"	"Apr 26, 1986"	"1986/04/26"			85.12
	"Apr 27, 1986"	"1986/04/27"	"Georgia"	"13"	87.18
"Total"	"Apr 27, 1986"	"1986/04/27"			87.18
	"Apr 28, 1986"	"1986/04/28"	"Georgia"	"13"	82.57
"Total"	"Apr 28, 1986"	"1986/04/28"			82.57
	"Apr 29, 1986"	"1986/04/29"	"Georgia"	"13"	79.78
"Total"	"Apr 29, 1986"	"1986/04/29"			79.78
	"Apr 30, 1986"	"1986/04/30"	"Georgia"	"13"	83.41
"Total"	"Apr 30, 1986"	"1986/04/30"			83.41
	"May 01, 1986"	"1986/05/01"	"Georgia"	"13"	80.19
"Total"	"May 01, 1986"	"1986/05/01"			80.19
	"May 02, 1986"	"1986/05/02"	"Georgia"	"13"	78.87
"Total"	"May 02, 1986"	"1986/05/02"			78.87
	"May 03, 1986"	"1986/05/03"	"Georgia"	"13"	71.26
"Total"	"May 03, 1986"	"1986/05/03"			71.26
	"May 04, 1986"	"1986/05/04"	"Georgia"	"13"	74.48
"Total"	"May 04, 1986"	"1986/05/04"			74.48
	"May 05, 1986"	"1986/05/05"	"Georgia"	"13"	81.13
"Total"	"May 05, 1986"	"1986/05/05"			81.13
	"May 06, 1986"	"1986/05/06"	"Georgia"	"13"	84.18
"Total"	"May 06, 1986"	"1986/05/06"			84.18
	"May 07, 1986"	"1986/05/07"	"Georgia"	"13"	84.09
"Total"	"May 07, 1986"	"1986/05/07"			84.09
	"May 08, 1986"	"1986/05/08"	"Georgia"	"13"	87.77
"Total"	"May 08, 1986"	"1986/05/08"			87.77
	"May 09, 1986"	"1986/05/09"	"Georgia"	"13"	84.41
"Total"	"May 09, 1986"	"1986/05/09"			84.41
	"May 10, 1986"	"1986/05/10"	"Georgia"	"13"	74.62
"Total"	"May 10, 1986"	"1986/05/10"			74.62
	"May 11, 1986"	"1986/05/11"	"Georgia"	"13"	77.75
"Total"	"May 11, 1986"	"1986/05/11"			77.75
	"May 12, 1986"	"1986/05/12"	"Georgia"	"13"	79.05
"Total"	"May 12, 1986"	"1986/05/12"			79.05
	"May 13, 1986"	"1986/05/13"	"Georgia"	"13"	76.45
"Total"	"May 13, 1986"	"1986/05/13"			76.45
	"May 14, 1986"	"1986/05/14"	"Georgia"	"13"	81.09
"Total"	"May 14, 1986"	"1986/05/14"			81.09
	"May 15, 1986"	"1986/05/15"	"Georgia"	"13"	82.19
"Total"	"May 15, 1986"	"1986/05/15"			82.19
	"May 16, 1986"	"1986/05/16"	"Georgia"	"13"	82.82
"Total"	"May 16, 1986"	"1986/05/16"			82.82
	"May 17, 1986"	"1986/05/17"	"Georgia"	"13"	83.40
"Total"	"May 17, 1986"	"1986/05/17"			83.40
	"May 18, 1986"	"1986/05/18"	"Georgia"	"13"	82.77
"Total"	"May 18, 1986"	"1986/05/18"			82.77
	"May 19, 1986"	"1986/05/19"	"Georgia"	"13"	78.82
"Total"	"May 19, 1986"	"1986/05/19"			78.82
	"May 20, 1986"	"1986/05/20"	"Georgia"	"13"	76.54
"Total"	"May 20, 1986"	"1986/05/20"			76.54
	"May 21, 1986"	"1986/05/21"	"Georgia"	"13"	76.03
"Total"	"May 21, 1986"	"1986/05/21"			76.03
	"May 22, 1986"	"1986/05/22"	"Georgia"	"13"	77.88
"Total"	"May 22, 1986"	"1986/05/22"			77.88
	"May 23, 1986"	"1986/05/23"	"Georgia"	"13"	85.52
"Total"	"May 23, 1986"	"1986/05/23"			85.52
	"May 24, 1986"	"1986/05/24"	"Georgia"	"13"	88.19
"Total"	"May 24, 1986"	"1986/05/24"			88.19
	"May 25, 1986"	"1986/05/25"	"Georgia"	"13"	91.33
"Total"	"May 25, 1986"	"1986/05/25"			91.33
	"May 26, 1986"	"1986/05/26"	"Georgia"	"13"	89.44
"Total"	"May 26, 1986"	"1986/05/26"			89.44
	"May 27, 1986"	"1986/05/27"	"Georgia"	"13"	86.97
"Total"	"May 27, 1986"	"1986/05/27"			86.97
	"May 28, 1986"	"1986/05/28"	"Georgia"	"13"	86.30
"Total"	"May 28, 1986"	"1986/05/28"			86.30
	"May 29, 1986"	"1986/05/29"	"Georgia"	"13"	86.46
"Total"	"May 29, 1986"	"1986/05/29"			86.46
	"May 30, 1986"	"1986/05/30"	"Georgia"	"13"	88.84
"Total"	"May 30, 1986"	"1986/05/30"			88.84
	"May 31, 1986"	"1986/05/31"	"Georgia"	"13"	88.18
"Total"	"May 31, 1986"	"1986/05/31"			88.18
	"Jun 01, 1986"	"1986/06/01"	"Georgia"	"13"	88.79
"Total"	"Jun 01, 1986"	"1986/06/01"			88.79
	"Jun 02, 1986"	"1986/06/02"	"Georgia"	"13"	88.52
"Total"	"Jun 02, 1986"	"1986/06/02"			88.52
	"Jun 03, 1986"	"1986/06/03"	"Georgia"	"13"	85.50
"Total"	"Jun 03, 1986"	"1986/06/03"			85.50
	"Jun 04, 1986"	"1986/06/04"	"Georgia"	"13"	81.77
"Total"	"Jun 04, 1986"	"1986/06/04"			81.77
	"Jun 05, 1986"	"1986/06/05"	"Georgia"	"13"	84.08
"Total"	"Jun 05, 1986"	"1986/06/05"			84.08
	"Jun 06, 1986"	"1986/06/06"	"Georgia"	"13"	87.21
"Total"	"Jun 06, 1986"	"1986/06/06"			87.21
	"Jun 07, 1986"	"1986/06/07"	"Georgia"	"13"	89.58
"Total"	"Jun 07, 1986"	"1986/06/07"			89.58
	"Jun 08, 1986"	"1986/06/08"	"Georgia"	"13"	88.60
"Total"	"Jun 08, 1986"	"1986/06/08"			88.60
	"Jun 09, 1986"	"1986/06/09"	"Georgia"	"13"	90.10
"Total"	"Jun 09, 1986"	"1986/06/09"			90.10
	"Jun 10, 1986"	"1986/06/10"	"Georgia"	"13"	87.69
"Total"	"Jun 10, 1986"	"1986/06/10"			87.69
	"Jun 11, 1986"	"1986/06/11"	"Georgia"	"13"	89.84
"Total"	"Jun 11, 1986"	"1986/06/11"			89.84
	"Jun 12, 1986"	"1986/06/12"	"Georgia"	"13"	90.08
"Total"	"Jun 12, 1986"	"1986/06/12"			90.08
	"Jun 13, 1986"	"1986/06/13"	"Georgia"	"13"	89.15
"Total"	"Jun 13, 1986"	"1986/06/13"			89.15
	"Jun 14, 1986"	"1986/06/14"	"Georgia"	"13"	89.19
"Total"	"Jun 14, 1986"	"1986/06/14"			89.19
	"Jun 15, 1986"	"1986/06/15"	"Georgia"	"13"	85.41
"Total"	"Jun 15, 1986"	"1986/06/15"			85.41
